Frame,FrameTime,CPUUsage,MemoryUsage
213,0.0068651,0.0068651,528.293
214,0.007112004,0.007112004,528.3086
215,0.007583695,0.007583695,528.3125
216,0.006950404,0.006950404,528.3203
217,0.006472995,0.006472995,528.3281
218,0.0068857,0.0068857,528.3398
219,0.007639803,0.007639803,528.3477
220,0.007245698,0.007245698,528.3555
221,0.0066571,0.0066571,528.3672
222,0.006896698,0.006896698,528.3672
223,0.0075027,0.0075027,528.3867
224,0.006843906,0.006843906,528.3945
225,0.006356399,0.006356399,528.4063
226,0.007287996,0.007287996,528.418
227,0.007606002,0.007606002,528.4219
228,0.0062026,0.0062026,528.4336
229,0.007422697,0.007422697,528.4414
230,0.006863202,0.006863202,528.4492
231,0.007031803,0.007031803,528.4531
232,0.007432001,0.007432001,528.4648
233,0.007190696,0.007190696,528.4805
234,0.006745004,0.006745004,528.4844
235,0.0069607,0.0069607,528.4922
236,0.007307894,0.007307894,528.5039
237,0.006827303,0.006827303,528.5156
238,0.006503699,0.006503699,528.5234
239,0.006992403,0.006992403,528.5313
240,0.008566497,0.008566497,528.5742
241,0.01124,0.01124,528.5781
242,0.006725702,0.006725702,528.5898
243,0.0197419,0.0197419,528.6016
244,0.005971195,0.005971195,528.6055
245,0.006525,0.006525,528.6172
246,0.007651403,0.007651403,528.6211
247,0.006703897,0.006703897,528.6367
248,0.006979202,0.006979202,528.6406
249,0.007200602,0.007200602,528.6523
250,0.0065634,0.0065634,528.668
251,0.007407795,0.007407795,528.6758
252,0.007261203,0.007261203,528.6875
253,0.006481703,0.006481703,528.6914
254,0.006713698,0.006713698,528.6992
255,0.007574703,0.007574703,528.707
256,0.007123597,0.007123597,528.7227
257,0.006837202,0.006837202,528.7422
258,0.007069997,0.007069997,528.7539
259,0.0070955,0.0070955,528.7617
260,0.006990597,0.006990597,528.7695
261,0.006952204,0.006952204,528.7852
262,0.007016199,0.007016199,528.793
263,0.007132398,0.007132398,528.7969
264,0.006695004,0.006695004,528.8047
265,0.0075089,0.0075089,528.8125
266,0.006612302,0.006612302,528.832
267,0.006867099,0.006867099,528.832
268,0.006981895,0.006981895,528.8438
269,0.007525,0.007525,528.8555
270,0.006640101,0.006640101,528.8633
271,0.006932405,0.006932405,528.8711
272,0.007367595,0.007367595,528.875
273,0.007114505,0.007114505,528.9102
274,0.0065848,0.0065848,528.9219
275,0.007012599,0.007012599,528.9297
276,0.007244295,0.007244295,528.9375
277,0.0068822,0.0068822,528.9414
278,0.007289101,0.007289101,528.9453
279,0.006672598,0.006672598,528.957
280,0.007160006,0.007160006,528.9727
281,0.007128196,0.007128196,528.9805
282,0.007259503,0.007259503,528.9844
283,0.006625,0.006625,528.9922
284,0.007526297,0.007526297,529.0039
285,0.007261005,0.007261005,529.0156
286,0.006997895,0.006997895,529.0195
287,0.0075706,0.0075706,529.0273
288,0.006556406,0.006556406,529.0391
289,0.007070195,0.007070195,529.0547
290,0.006938102,0.006938102,529.0586
291,0.006943396,0.006943396,529.0664
292,0.006988003,0.006988003,529.0742
293,0.0075044,0.0075044,529.082
294,0.006454599,0.006454599,529.0859
295,0.007669997,0.007669997,529.1055
296,0.006288903,0.006288903,529.1055
297,0.007559,0.007559,529.1172
298,0.006757901,0.006757901,529.1328
299,0.007414598,0.007414598,529.1445
