Frame,FrameTime,Framerate,MemoryUsage(MB)
178,0.007296904,137.0444,407.5432
179,0.006990597,143.0493,407.5439
180,0.006908298,144.7534,407.5447
181,0.006790101,147.2732,407.5454
182,0.007352303,136.0118,407.5461
183,0.006714101,148.9403,407.5469
184,0.007192899,139.026,407.5476
185,0.006999901,142.8592,407.5483
186,0.006927799,144.346,407.5491
187,0.006951998,143.8435,407.5498
188,0.008144502,122.7822,407.5505
189,0.006306597,158.5641,407.5513
190,0.006831101,146.3893,407.552
191,0.007477501,133.7345,407.5527
192,0.0070661,141.5208,407.5535
193,0.0065438,152.8164,407.5542
194,0.007088499,141.0736,407.5549
195,0.007295004,137.0801,407.5557
196,0.006668297,149.9633,407.5564
197,0.006946599,143.9553,407.5571
198,0.007079401,141.2549,407.5579
199,0.007143998,139.9776,407.5586
200,0.006901601,144.8939,407.5593
201,0.0074143,134.8745,407.5601
202,0.00665,150.3759,407.5608
203,0.006925602,144.3918,407.5615
204,0.007092701,140.99,407.5623
205,0.007249199,137.9463,407.563
206,0.006858702,145.8002,407.5637
207,0.006728196,148.6283,407.5645
208,0.007497598,133.3761,407.5652
209,0.0068937,145.06,407.5659
210,0.006913606,144.6423,407.5667
211,0.006922399,144.4586,407.5674
212,0.007163499,139.5966,407.5681
213,0.006878097,145.3891,407.5688
214,0.007190802,139.0665,407.5696
215,0.006790001,147.2754,407.5703
216,0.007216397,138.5733,407.571
217,0.0069803,143.2603,407.5718
218,0.007046103,141.9224,407.5725
219,0.006692,149.4322,407.5732
220,0.007145996,139.9385,407.574
221,0.007273002,137.4948,407.5747
222,0.007026602,142.3163,407.5754
223,0.006580896,151.955,407.5762
224,0.007241801,138.0872,407.5769
225,0.007099702,140.851,407.5776
226,0.007132497,140.2034,407.5784
227,0.006541603,152.8677,407.5791
228,0.007239498,138.1311,407.5798
229,0.007228401,138.3432,407.5806
230,0.006682199,149.6513,407.5813
231,0.007166603,139.5361,407.582
232,0.006986798,143.1271,407.5828
233,0.007217198,138.5579,407.5835
234,0.006897598,144.978,407.5842
235,0.006958602,143.707,407.585
236,0.007056597,141.7114,407.5857
237,0.0068098,146.8472,407.5864
238,0.007330903,136.4088,407.5872
239,0.006863499,145.6983,407.5879
240,0.006928203,144.3376,407.5886
241,0.006806399,146.9206,407.5894
242,0.007508298,133.186,407.5901
243,0.007598505,131.6048,407.5908
244,0.008743693,114.3681,407.5916
245,0.0127156,78.64353,407.5923
246,0.009502501,105.2355,407.593
247,0.0107929,92.6535,407.5938
248,0.006517701,153.4283,407.5945
249,0.007355499,135.9527,407.5952
250,0.007014696,142.5578,407.5959
251,0.006679202,149.7185,407.5967
252,0.0069563,143.7546,407.5974
253,0.007257001,137.798,407.5981
254,0.007037202,142.1019,407.5989
255,0.006823895,146.5439,407.5996
256,0.0070642,141.5588,407.6003
257,0.0071652,139.5634,407.6011
258,0.006882504,145.296,407.6018
259,0.007084297,141.1573,407.6025
260,0.006974702,143.3753,407.6033
261,0.007843197,127.499,407.6036
262,0.0063455,157.592,407.6043
263,0.007128798,140.2761,407.605
264,0.006594402,151.6438,407.6058
265,0.006951899,143.8456,407.6065
266,0.007437599,134.452,407.6072
267,0.007028203,142.2839,407.608
268,0.006776297,147.5732,407.6087
269,0.0071964,138.9584,407.6094
270,0.006853203,145.9172,407.6102
271,0.007311302,136.7745,407.6109
272,0.006492396,154.0263,407.6116
273,0.0072197,138.5099,407.6124
274,0.007176899,139.336,407.6131
275,0.006783702,147.4121,407.6138
276,0.007426297,134.6566,407.6146
277,0.006628706,150.859,407.6153
278,0.007145599,139.9463,407.616
279,0.007130697,140.2387,407.6168
280,0.007192999,139.0241,407.6175
281,0.006716,148.8981,407.6182
282,0.006989101,143.0799,407.619
283,0.007349703,136.0599,407.6197
284,0.006729797,148.5929,407.6204
285,0.006876701,145.4186,407.6212
286,0.006937897,144.1359,407.6219
287,0.007429705,134.5948,407.6226
288,0.006816199,146.7093,407.6234
289,0.007023895,142.3712,407.6241
290,0.006819203,146.6447,407.6248
291,0.0073563,135.9379,407.6255
292,0.006563102,152.367,407.6263
293,0.007416596,134.8327,407.627
294,0.006658603,150.1817,407.6277
295,0.007178402,139.3068,407.6285
296,0.006881697,145.313,407.6292
297,0.0073384,136.2695,407.6299
298,0.006548299,152.7114,407.6307
299,0.0071304,140.2446,407.6314
