Frame,FrameTime,Framerate,MemoryUsage(MB)
178,0.007017999,142.4908,396.1611
179,0.0073205,136.6027,396.1618
180,0.006728798,148.6149,396.1626
181,0.007094203,140.9601,396.1633
182,0.006780598,147.4796,396.164
183,0.007016801,142.5151,396.1648
184,0.007221499,138.4754,396.1655
185,0.007266,137.6273,396.1662
186,0.006795096,147.1649,396.167
187,0.007933999,126.0398,396.1669
188,0.006422201,155.7099,396.1676
189,0.006830704,146.3978,396.1683
190,0.006808099,146.8839,396.1691
191,0.007058801,141.6671,396.1698
192,0.007188697,139.1073,396.1705
193,0.006690498,149.4657,396.1713
194,0.007469905,133.8705,396.172
195,0.006733801,148.5045,396.1727
196,0.006955293,143.7754,396.1735
197,0.007224901,138.4102,396.1742
198,0.0070232,142.3852,396.1749
199,0.006762103,147.883,396.1757
200,0.007258702,137.7657,396.1764
201,0.006971499,143.4412,396.1771
202,0.007121095,140.4278,396.1779
203,0.006600205,151.5104,396.1786
204,0.007162394,139.6181,396.1793
205,0.007112606,140.5954,396.1801
206,0.006936196,144.1712,396.1808
207,0.007116801,140.5126,396.1815
208,0.007018197,142.4867,396.1823
209,0.006905201,144.8184,396.183
210,0.007122903,140.3922,396.1837
211,0.006900198,144.9234,396.1844
212,0.0073197,136.6176,396.1852
213,0.006837599,146.2502,396.1859
214,0.007274901,137.4589,396.1866
215,0.006700999,149.2315,396.1874
216,0.0070098,142.6574,396.1881
217,0.007018403,142.4826,396.1888
218,0.007379301,135.5142,396.1896
219,0.0069215,144.4774,396.1903
220,0.006999199,142.8735,396.191
221,0.0066875,149.5327,396.1918
222,0.007146996,139.9189,396.1925
223,0.006953501,143.8125,396.1932
224,0.007032703,142.1928,396.194
225,0.007408496,134.9801,396.1947
226,0.007252005,137.8929,396.1954
227,0.0070071,142.7124,396.1962
228,0.007034998,142.1464,396.1969
229,0.006927296,144.3565,396.1976
230,0.006599802,151.5197,396.1984
231,0.0076348,130.9792,396.1991
232,0.007159099,139.6824,396.1998
233,0.006350602,157.4654,396.2006
234,0.007501998,133.2978,396.2013
235,0.007174001,139.3922,396.202
236,0.007756704,128.9207,396.2028
237,0.006962401,143.6286,396.2035
238,0.006806597,146.9163,396.2042
239,0.007326502,136.4908,396.205
240,0.007036196,142.1223,396.2057
